state,sqmi,lat,long
AL,50646.64,32.7437,-86.8468
AK,571016.95,63.4131,-152.8796
AZ,113653.15,34.2751,-111.6605
AR,52037.53,34.894,-92.4427
CA,155854.04,37.1548,-119.5278
CO,103637.5,38.9976,-105.5478
CT,4842.69,41.5751,-72.7393
DE,1948.51,38.9933,-75.4514
DC,61.14,38.9048,-77.0163
FL,53647.88,28.4604,-82.4245
GA,57716.33,32.6279,-83.4165
HI,6422.43,21.0509,-157.9937
ID,82645.13,44.3524,-114.6137
IL,55513.72,40.1006,-89.1501
IN,35826.44,39.906,-86.2873
IA,55853.72,42.0754,-93.4959
KS,81758.48,38.4939,-98.3786
KY,39491.39,37.5352,-85.3018
LA,43204.49,30.9026,-91.7982
ME,30844.8,45.2611,-69.2137
MD,9711.14,38.9464,-76.679
MA,7800.96,42.1618,-71.4975
MI,56605.93,44.8382,-85.665
MN,79625.88,46.3167,-94.1983
MS,46925.54,32.6975,-89.6553
MO,68745.46,38.357,-92.4581
MT,145547.71,47.0526,-109.6329
NE,76816.5,41.5381,-99.795
NV,109860.37,39.3292,-116.6313
NH,8953.4,43.674,-71.5738
NJ,7354.8,40.105,-74.658
NM,121312.24,34.4076,-106.1127
NY,47123.77,42.9198,-75.5943
NC,48620.28,35.5402,-79.1299
ND,68994.77,47.4504,-100.466
OH,40858.76,40.4097,-82.7169
OK,68595.95,35.5886,-97.4947
OR,95988,43.9396,-120.6109
PA,44741.7,40.9011,-77.8369
RI,1033.9,41.594,-71.5247
SC,30063.71,33.8758,-80.8583
SD,75809.69,44.4446,-100.227
TN,41237.97,35.8581,-86.3503
TX,261263.07,31.4278,-99.2891
UT,82376.88,39.3063,-111.6703
VT,9217.88,44.0694,-72.666
VA,39482.15,37.5183,-78.6759
WA,66455.12,47.4149,-120.5955
WV,24041.13,38.6412,-80.6235
WI,54167.44,44.6273,-89.7098
WY,97088.7,42.9961,-107.5515
AS,76.36,-13.9638,-170.0823
GU,209.87,13.4427,144.7694
MP,182.35,16.7974,145.5969
PR,3424.23,18.2165,-66.4148
VI,134.37,18.0594,-64.8388
