fips,high,bach,grad
33,0.9279999999999999,0.36,0.138
27,0.9279999999999999,0.348,0.11800000000000001
56,0.9279999999999999,0.267,0.09300000000000001
02,0.924,0.29,0.10400000000000001
38,0.9229999999999999,0.289,0.078
50,0.9229999999999999,0.368,0.15
23,0.9209999999999999,0.303,0.109
19,0.9179999999999999,0.27699999999999997,0.09
49,0.9179999999999999,0.325,0.11
55,0.917,0.29,0.099
15,0.9159999999999999,0.32,0.10800000000000001
46,0.914,0.278,0.083
08,0.9109999999999999,0.39399999999999996,0.146
31,0.909,0.306,0.102
53,0.9079999999999999,0.345,0.127
20,0.905,0.32299999999999995,0.11699999999999999
11,0.903,0.5660000000000001,0.32799999999999996
25,0.903,0.42100000000000004,0.187
16,0.902,0.268,0.085
26,0.902,0.281,0.11
09,0.902,0.384,0.17
41,0.902,0.32299999999999995,0.122
42,0.899,0.301,0.11800000000000001
24,0.898,0.39,0.18
39,0.898,0.272,0.102
10,0.893,0.31,0.129
29,0.892,0.282,0.107
34,0.892,0.381,0.147
51,0.89,0.376,0.161
17,0.8859999999999999,0.33399999999999996,0.13
18,0.883,0.253,0.092
12,0.8759999999999999,0.285,0.10300000000000001
40,0.875,0.248,0.083
44,0.873,0.33,0.131
37,0.8690000000000001,0.299,0.106
45,0.865,0.27,0.098
47,0.865,0.261,0.096
04,0.865,0.284,0.107
13,0.863,0.299,0.114
36,0.861,0.353,0.154
54,0.8590000000000001,0.19899999999999998,0.079
32,0.858,0.237,0.081
05,0.856,0.22,0.079
01,0.853,0.245,0.091
21,0.852,0.23199999999999998,0.096
35,0.85,0.26899999999999996,0.11800000000000001
22,0.843,0.23399999999999999,0.081
28,0.8340000000000001,0.213,0.08
48,0.828,0.287,0.099
06,0.825,0.326,0.122
69,0.8240000000000001,0.20199999999999999,0.037000000000000005
60,0.821,0.099,0.035
66,0.794,0.204,0.052000000000000005
72,0.747,0.249,0.071
78,0.6890000000000001,0.192,0.07400000000000001
