abb,population,income,life_exp,murder,high,bach,heat
AL,4887871,48123,74.9,7.8,0.8659,0.2339,65.89
AK,737438,73181,77.8,6.4,0.9272,0.2713,-26.63
AZ,7171646,56581,79.2,5.1,0.8713,0.2708,73.65
AR,3013825,45869,75.4,7.2,0.873,0.2137,62.38
CA,39557045,71805,80.9,4.4,0.8448,0.3141,38.1
CO,5695564,69117,79.9,3.7,0.9133,0.3841,6.24
CT,3572665,74168,80.4,2.3,0.9082,0.3676,20.4
DE,967171,62852,78.2,5,0.895,0.2885,40.53
DC,702455,82372,77.1,22.8,0.9204,0.5573,NA
FL,21299325,52594,79.1,5.2,0.8811,0.2821,114.94
GA,10519475,56183,77.1,6.1,0.8721,0.2905,66.18
HI,1420491,77765,81.5,2.5,0.9192,0.3081,99.12
ID,1754208,52225,79,2,0.9013,0.2506,12.47
IL,12741080,62992,79,6.9,0.8936,0.3265,35.79
IN,6691878,54181,77,6.5,0.8842,0.2495,32.41
IA,3156145,58570,79.4,1.7,0.9182,0.2682,27.58
KS,2911505,56422,78.2,3.9,0.9078,0.3077,46.91
KY,4468402,48375,75,5.5,0.8697,0.2286,41.66
LA,4659978,46145,75.4,11.4,0.8553,0.222,87.26
ME,1338404,56277,78,1.8,0.927,0.2958,8.24
MD,6042718,80776,78.8,8.1,0.9036,0.378,39.79
MA,6902149,77385,79.9,2,0.9059,0.4126,16.93
MI,9995915,54909,77.6,5.5,0.9066,0.2731,14.59
MN,5611179,68388,80.7,1.9,0.9272,0.3409,15.72
MS,2986530,43529,74.5,5.7,0.8545,0.2102,72.28
MO,6126452,53578,77.1,9.9,0.9013,0.2728,44.34
MT,1062305,53386,76.9,3.2,0.9303,0.2935,10.56
NE,1929268,59970,79.1,2.3,0.9115,0.2995,29.24
NV,3034392,58003,77.9,6.7,0.8665,0.2284,32.03
NH,1356458,73381,79.1,1.5,0.9288,0.342,11.63
NJ,8908520,80088,80.7,3.2,0.901,0.3826,30.45
NM,2095428,46744,77.7,8,0.8503,0.2501,30.19
NY,19542209,64894,80.6,2.9,0.8736,0.3487,16.09
NC,10383620,52752,77.8,6,0.8813,0.294,46.48
ND,760077,61843,78.6,2.4,0.92490000000000006,0.2681,14.91
OH,11689442,54021,76.6,4.8,0.9028,0.2684,27.58
OK,3943079,50051,75.4,5.2,0.879,0.2329,64.11
OR,4190713,60212,79.2,2,0.9009,0.3134,10.58
PA,12807060,59195,78,6.1,0.9064,0.2969,21.46
PR,3195153,19343,81,20,0.7913,0.2465,150.04
RI,1057315,63870,79.3,1.5,0.8941,0.3178,18.79
SC,5084127,50570,76.2,7.7,0.8823,0.2594,64.41
SD,882235,56521,78.1,1.4,0.9143,0.269,22.46
TN,6770010,51340,76,7.4,0.878,0.2545,47.26
TX,28701845,59206,78.5,4.6,0.8417,0.2749,87.41
UT,3161105,68358,79.3,1.9,0.918,0.304,24.54
VT,626299,57513,79.9,1.6,0.9336,0.3551,9.97
VA,8517685,71535,79.1,4.6,0.8986,0.3613,38.09
WA,7535591,70979,79.9,3.1,0.9108,0.3388,10.2
WV,1805832,43469,74.8,3.7,0.8768,0.1994,24.01
WI,5813568,59305,79.5,3,0.9176,0.2788,15.58
WY,577737,60434,78,2.3,0.922,0.2464,9.44
