sumlev,region,division,fips,state,pop,adult
040,3,6,01,Alabama,4887871,0.777
040,4,9,02,Alaska,737438,0.7509999999999999
040,4,8,04,Arizona,7171646,0.7709999999999999
040,3,7,05,Arkansas,3013825,0.767
040,4,9,06,California,39557045,0.773
040,4,8,08,Colorado,5695564,0.778
040,1,1,09,Connecticut,3572665,0.794
040,3,5,10,Delaware,967171,0.789
040,3,5,11,District of Columbia,702455,0.8190000000000001
040,3,5,12,Florida,21299325,0.8009999999999999
040,3,5,13,Georgia,10519475,0.762
040,4,9,15,Hawaii,1420491,0.7859999999999999
040,4,8,16,Idaho,1754208,0.745
040,2,3,17,Illinois,12741080,0.7759999999999999
040,2,3,18,Indiana,6691878,0.7659999999999999
040,2,4,19,Iowa,3156145,0.768
040,2,4,20,Kansas,2911505,0.758
040,3,6,21,Kentucky,4468402,0.774
040,3,7,22,Louisiana,4659978,0.765
040,1,1,23,Maine,1338404,0.813
040,3,5,24,Maryland,6042718,0.778
040,1,1,25,Massachusetts,6902149,0.802
040,2,3,26,Michigan,9995915,0.7829999999999999
040,2,4,27,Minnesota,5611179,0.768
040,3,6,28,Mississippi,2986530,0.764
040,2,4,29,Missouri,6126452,0.775
040,4,8,30,Montana,1062305,0.784
040,2,4,31,Nebraska,1929268,0.753
040,4,8,32,Nevada,3034392,0.773
040,1,1,33,New Hampshire,1356458,0.81
040,1,2,34,New Jersey,8908520,0.7809999999999999
040,4,8,35,New Mexico,2095428,0.77
040,1,2,36,New York,19542209,0.792
040,3,5,37,North Carolina,10383620,0.778
040,2,4,38,North Dakota,760077,0.765
040,2,3,39,Ohio,11689442,0.778
040,3,7,40,Oklahoma,3943079,0.757
040,4,9,41,Oregon,4190713,0.792
040,1,2,42,Pennsylvania,12807060,0.7929999999999999
040,1,1,44,Rhode Island,1057315,0.8059999999999999
040,3,5,45,South Carolina,5084127,0.782
040,2,4,46,South Dakota,882235,0.753
040,3,6,47,Tennessee,6770010,0.778
040,3,7,48,Texas,28701845,0.742
040,4,8,49,Utah,3161105,0.705
040,1,1,50,Vermont,626299,0.815
040,3,5,51,Virginia,8517685,0.78
040,4,9,53,Washington,7535591,0.779
040,3,5,54,West Virginia,1805832,0.7979999999999999
040,2,3,55,Wisconsin,5813568,0.78
040,4,8,56,Wyoming,577737,0.767
040,NA,NA,72,Puerto Rico Commonwealth,3195153,0.8140000000000001
