fips,division
01,East South Central
02,Pacific
04,Mountain
05,West South Central
06,Pacific
08,Mountain
09,New England
10,South Atlantic
11,South Atlantic
12,South Atlantic
13,South Atlantic
15,Pacific
16,Mountain
17,East North Central
18,East North Central
19,West North Central
20,West North Central
21,East South Central
22,West South Central
23,New England
24,South Atlantic
25,New England
26,East North Central
27,West North Central
28,East South Central
29,West North Central
30,Mountain
31,West North Central
32,Mountain
33,New England
34,Middle Atlantic
35,Mountain
36,Middle Atlantic
37,South Atlantic
38,West North Central
39,East North Central
40,West South Central
41,Pacific
42,Middle Atlantic
44,New England
45,South Atlantic
46,West North Central
47,East South Central
48,West South Central
49,Mountain
50,New England
51,South Atlantic
53,Pacific
54,South Atlantic
55,East North Central
56,Mountain
